Make,Make_Link,Live_Link,Available
BMW,BMW specifications catalogue.html,https://www.automobile-catalog.com/list-bmw.html,3
Bentley,,https://www.automobile-catalog.com/list-bentley.html,3
DS Automobiles,,https://www.automobile-catalog.com/list-ds.html,3
Proton,,https://www.automobile-catalog.com/list-proton.html,3
Renault,,https://www.automobile-catalog.com/list-renault.html,3
Alfa Romeo,Alfa_Romeo_specifications_catalogue.html,https://www.automobile-catalog.com/list-alfa_romeo.html,0
Citroen,Citroen specifications catalogue.html,https://www.automobile-catalog.com/list-citroen.html,0
Ferrari,Ferrari specifications catalogue.html,https://www.automobile-catalog.com/list-ferrari.html,0
Fiat,Fiat specifications catalogue.html,https://www.automobile-catalog.com/list-fiat.html,0
Ford,Ford_(Europe)_specifications_catalogue.html,https://www.automobile-catalog.com/list-ford_europe.html,0
Hyundai,Hyundai specifications catalogue.html,https://www.automobile-catalog.com/list-hyundai.html,0
Jaguar,Jaguar specifications catalogue.html,https://www.automobile-catalog.com/list-jaguar.html,0
Mazda,Mazda specifications catalogue.html,https://www.automobile-catalog.com/list-mazda.html,0
Aston Martin,,https://www.automobile-catalog.com/list-aston_martin.html,0
Audi,,https://www.automobile-catalog.com/list-audi.html,0
Chevrolet,,https://www.automobile-catalog.com/list-chevrolet_europe.html,0
Chrysler,,https://www.automobile-catalog.com/list-chrysler.html,0
Daewoo,,https://www.automobile-catalog.com/list-daewoo.html,0
Daihatsu,,https://www.automobile-catalog.com/list-daihatsu.html,0
Honda,,https://www.automobile-catalog.com/list-honda.html,0
Infiniti,,https://www.automobile-catalog.com/list-infiniti.html,0
Kia,,https://www.automobile-catalog.com/list-kia.html,0
Lamborghini,,https://www.automobile-catalog.com/list-lamborghini.html,0
Lancia,,https://www.automobile-catalog.com/list-lancia.html,0
Land-Rover,,https://www.automobile-catalog.com/list-land-rover.html,0
Lexus,,https://www.automobile-catalog.com/list-lexus.html,0
Lotus,,https://www.automobile-catalog.com/list-lotus.html,0
Maserati,,https://www.automobile-catalog.com/list-maserati.html,0
Mercedes-Benz,,https://www.automobile-catalog.com/list-mercedes-benz.html,0
MG,,https://www.automobile-catalog.com/list-mg.html,0
Mini,,https://www.automobile-catalog.com/list-mini.html,0
Mitsubishi,,https://www.automobile-catalog.com/list-mitsubishi.html,0
Nissan,,https://www.automobile-catalog.com/list-nissan.html,0
Opel,,https://www.automobile-catalog.com/list-opel.html,0
Peugeot,,https://www.automobile-catalog.com/list-peugeot.html,0
Polestar,,https://www.automobile-catalog.com/list-polestar.html,0
Pontiac,,https://www.automobile-catalog.com/list-pontiac.html,0
Porsche,,https://www.automobile-catalog.com/list-porsche.html,0
Lada,,,0
Rover,,,0
Saab,,,0
Seat,,,0
Skoda,,,0
Smart,,,0
Subaru,,,0
Suzuki,,,0
Toyota,,,0
Volkswagen,,,0
Volvo,,,0
