#j,#i,Submodel_Name,Powertrain_Name,Powertrain_Link
1001,8,Audi A5 Sportback 2WD 1st-gen. phase-I (8T),Audi A5 Sportback 2.0 TDI (143) Multitronic (cont. 8 pre-programmed) ,/car/2011/1190225/audi_a5_sportback_2_0_tdi_143_multitronic.html
1002,9,Audi A5 Sportback 2WD 1st-gen. phase-I (8T),Audi A5 Sportback 2.0 TDI (170) (man. 6) ,/car/2011/1190240/audi_a5_sportback_2_0_tdi_170.html
1003,10,Audi A5 Sportback 2WD 1st-gen. phase-I (8T),Audi A5 Sportback 2.7 TDI (man. 6) ,/car/2011/1190270/audi_a5_sportback_2_7_tdi.html
1004,11,Audi A5 Sportback 2WD 1st-gen. phase-I (8T),Audi A5 Sportback 2.7 TDI Multitronic (cont. 8 pre-programmed) ,/car/2011/1190285/audi_a5_sportback_2_7_tdi_multitronic.html
1005,1,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 1.8 TFSI (man. 6) ,/car/2015/1587755/audi_a5_sportback_1_8_tfsi.html
1006,2,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 1.8 TFSI Multitronic (cont. 8 pre-programmed) ,/car/2015/1587740/audi_a5_sportback_1_8_tfsi_multitronic.html
1007,3,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 2.0 TFSI (225) (man. 6) ,/car/2015/2042945/audi_a5_sportback_2_0_tfsi_225.html
1008,4,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 2.0 TFSI (225) Multitronic (cont. 8 pre-programmed) ,/car/2015/2042930/audi_a5_sportback_2_0_tfsi_225_multitronic.html
1009,5,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 2.0 TDI Ultra (136) (man. 6) ,/car/2015/2043050/audi_a5_sportback_2_0_tdi_ultra_136.html
1010,6,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 2.0 TDI (150) (man. 6) ,/car/2015/2043005/audi_a5_sportback_2_0_tdi_150.html
1011,7,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 2.0 TDI (150) Multitronic (cont. 8 pre-programmed) ,/car/2015/2043020/audi_a5_sportback_2_0_tdi_150_multitronic.html
1012,8,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 2.0 TDI Ultra (163) (man. 6) ,/car/2015/2043065/audi_a5_sportback_2_0_tdi_ultra_163.html
1013,9,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 2.0 TDI (177) (man. 6) ,/car/2015/1587830/audi_a5_sportback_2_0_tdi_177.html
1014,10,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 2.0 TDI (177) Multitronic (cont. 8 pre-programmed) ,/car/2015/1588205/audi_a5_sportback_2_0_tdi_177_multitronic.html
1015,11,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 3.0 TDI (man. 6) ,/car/2015/1765295/audi_a5_sportback_3_0_tdi.html
1016,12,Audi A5 Sportback 2WD 1st-gen. phase-II (8T),Audi A5 Sportback 3.0 TDI Multitronic (cont. 8 pre-programmed) ,/car/2015/1587860/audi_a5_sportback_3_0_tdi_multitronic.html
1017,1,Audi A5 Sportback Quattro 1st-gen. phase-I (8T),Audi A5 Sportback 2.0 TFSI Quattro (man. 6) ,/car/2011/1336400/audi_a5_sportback_2_0_tfsi_quattro.html
1018,2,Audi A5 Sportback Quattro 1st-gen. phase-I (8T),Audi A5 Sportback 2.0 TFSI Quattro S-Tronic (d-cl. 7) ,/car/2011/1190195/audi_a5_sportback_2_0_tfsi_quattro_s-tronic.html
