#i,Submodel_Name,Powertrain_Name,Powertrain_Link
1,Alfa Romeo 4C Spider,Alfa Romeo 4C Spider (d-cl. 6) ,/car/2019/2592080/alfa_romeo_4c_spider.html
1,Alfa Romeo Giulietta phase I Quadrifoglio Verde,Alfa Romeo Giulietta Quadrifoglio Verde 1750 TBi TCT (d-cl. 6) ,/car/2015/2042120/alfa_romeo_giulietta_quadrifoglio_verde_1750_tbi_tct.html
1,Alfa Romeo 4C Coupe,Alfa Romeo 4C Coupe (d-cl. 6) ,/car/2017/1842620/alfa_romeo_4c.html
2,Alfa Romeo 4C Coupe,Alfa Romeo 4C Coupe (d-cl. 6) ,/car/2017/2078405/alfa_romeo_4c.html
1,Hyundai i20 2nd-gen. phase-I Coupe (3-Door),"Hyundai i20 Coupe 1.0 T-GDI (120) (man. 6)  (Trend, Style)",/car/2017/2453930/hyundai_i20_coupe_1_0_t-gdi_120.html
2,Hyundai i20 2nd-gen. phase-I Coupe (3-Door),Hyundai i20 Coupe 1.2 (man. 5) ,/car/2017/2161160/hyundai_i20_coupe_1_2.html
3,Hyundai i20 2nd-gen. phase-I Coupe (3-Door),"Hyundai i20 Coupe 1.4 CRDi (man. 6)  (Trend, Style)",/car/2017/2161205/hyundai_i20_coupe_1_4_crdi.html
1,Hyundai i20 Active phase-II,"Hyundai i20 Active 1.0 T-GDI 100 (man. 5)  (Trend, Style)",/car/2020/2909225/hyundai_i20_active_1_0_t-gdi_100.html
2,Hyundai i20 Active phase-II,"Hyundai i20 Active 1.0 T-GDI 100 7DCT (d-cl. 7)  (Trend, Style)",/car/2020/2909240/hyundai_i20_active_1_0_t-gdi_100_7dct.html
3,Hyundai i20 Active phase-II,Hyundai i20 Active 1.0 T-GDI 120 7DCT (d-cl. 7)  (Style),/car/2020/2909255/hyundai_i20_active_1_0_t-gdi_120_7dct.html
4,Hyundai i20 Active phase-II,"Hyundai i20 Active 1.4 (man. 6)  (Pure, Select)",/car/2020/2727440/hyundai_i20_active_1_4.html
1,Hyundai i20 Active phase-I,"Hyundai i20 Active 1.0 T-GDI (100) (man. 5)  (Classic, Trend)",/car/2017/2311550/hyundai_i20_active_1_0_t-gdi_100.html
2,Hyundai i20 Active phase-I,"Hyundai i20 Active 1.0 T-GDI (120) (man. 6)  (Trend, Style)",/car/2017/2311565/hyundai_i20_active_1_0_t-gdi_120.html
3,Hyundai i20 Active phase-I,Hyundai i20 Active 1.4 (man. 6) ,/car/2017/2325920/hyundai_i20_active_1_4.html
4,Hyundai i20 Active phase-I,"Hyundai i20 Active 1.4 CRDi (man. 6)  (Trend, Style)",/car/2017/2311535/hyundai_i20_active_1_4_crdi.html
1,Hyundai i20 2nd-gen. phase-II 5-Door Hatchback,"Hyundai i20 1.0 T-GDI 100 (man. 5)  (Trend, Style)",/car/2019/2727380/hyundai_i20_1_0_t-gdi_100.html
2,Hyundai i20 2nd-gen. phase-II 5-Door Hatchback,"Hyundai i20 1.0 T-GDI 100 7DCT (d-cl. 7)  (Trend, Style)",/car/2019/2727395/hyundai_i20_1_0_t-gdi_100_7dct.html
