Submodel_Name,Powertrain_Name,Powertrain_Link,Related_Models,Markets_Sold,EEC_segmentation,Body_Style,Traction,Length,Width,Height,Wheelbase,Weight,Engine_Manufacturer,Engine_Type,Fuel_Type,Fuel_System,Charge_System,Valves_Per_Cylinder,Additional_Features,Cylinders_Alignment,Displacement,Horsepower,Torque,Transmission,Transmission_Type,Number_Of_Gears,Top_Speed,0_100_kmh_(sec),ECE90_120_city_comb,EU_NEDC_Australia_ADR82,Battery_Capacity,Battery_Capacity_Net,E_Power_Cons_NEDC_comb,E_Power_Cons_WLTP_comb,E_Range_NEDC_comb,E_Range_WLTP_comb,E_Range_NEDC_city,E_Range_WLTP_city,Simulation_Based_Consumption
2000 Alfa Romeo 145 serie 2 Quadrifoglio ,Alfa Romeo 145 Quadrifoglio (man. 5 speed),/car/2000/218285/alfa_romeo_145_quadrifoglio.html,,Europe    Japan,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4061 mm / 159.9 in,1712 mm / 67.4 in,1431 mm / 56.3 in,2540 mm / 100 in,1254 kg / 2765 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic M1 5.5; twin spark,Line 4,1970 cm3 / 120.3 cui,114 kW / 155 PS / 153 hp  (ECE),187 Nm / 138 ft-lb,,manual,5,211 km/h / 131 mph,8.3, ,12.4 / 6.6 / 8.7 l/100km,,,,,,,,,7.9-9.5 / 12.1-14.5 / 9.6-11.5 / 10.4
2000 Alfa Romeo 146 serie 2 ,Alfa Romeo 146 1.4 Twin Spark 16V (man. 5 speed),/car/2000/218300/alfa_romeo_146_1_4_twin_spark_16v.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4235 mm / 166.7 in,1712 mm / 67.4 in,1425 mm / 56.1 in,2540 mm / 100 in,1160 kg / 2557 lbs,Alfa Romeo,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic M1 5.5; twin spark,Line 4,1370 cm3 / 83.9 cui,76 kW / 103 PS / 102 hp  (ECE),125 Nm / 92 ft-lb,,manual,5,187 km/h / 116 mph,11.5, ,10.7 / 6.6 / 7.9 l/100km,,,,,,,,,7-8.4 / 10.1-12.1 / 8.7-10.4 / 9
2000 Alfa Romeo 146 serie 2 ,Alfa Romeo 146 1.6 Twin Spark 16V (man. 5 speed),/car/2000/218315/alfa_romeo_146_1_6_twin_spark_16v.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4235 mm / 166.7 in,1712 mm / 67.4 in,1425 mm / 56.1 in,2540 mm / 100 in,1180 kg / 2601 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic M1 5.5; twin spark,Line 4,1598 cm3 / 97.7 cui,88 kW / 120 PS / 118 hp  (ECE),144 Nm / 106 ft-lb,,manual,5,197 km/h / 122 mph,10.5, ,11.3 / 6.6 / 8.3 l/100km,,,,,,,,,7.3-8.8 / 10.6-12.7 / 9-10.8 / 9.4
2000 Alfa Romeo 146 serie 2 ,Alfa Romeo 146 1.8 Twin Spark 16V (man. 5 speed),/car/2000/218330/alfa_romeo_146_1_8_twin_spark_16v.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4235 mm / 166.7 in,1712 mm / 67.4 in,1425 mm / 56.1 in,2540 mm / 100 in,1215 kg / 2679 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic M1 5.5; twin spark,Line 4,1747 cm3 / 106.8 cui,106 kW / 144 PS / 142 hp  (ECE),169 Nm / 125 ft-lb,,manual,5,207 km/h / 129 mph,9.3, ,11.5 / 6.6 / 8.4 l/100km,,,,,,,,,7.5-9 / 11-13.2 / 9.2-11 / 9.7
2000 Alfa Romeo 146 serie 2 ,Alfa Romeo 146 Ti (man. 5 speed),/car/2000/218345/alfa_romeo_146_ti.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4235 mm / 166.7 in,1712 mm / 67.4 in,1425 mm / 56.1 in,2540 mm / 100 in,1275 kg / 2811 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic M1 5.5; twin spark,Line 4,1970 cm3 / 120.3 cui,114 kW / 155 PS / 153 hp  (ECE),187 Nm / 138 ft-lb,,manual,5,211 km/h / 131 mph,8.4, ,12.4 / 6.6 / 8.7 l/100km,,,,,,,,,7.9-9.5 / 12.2-14.6 / 9.6-11.5 / 10.4
2000 Alfa Romeo 146 serie 2 ,Alfa Romeo 146 1.9 JTD (man. 5 speed),/car/2000/218360/alfa_romeo_146_1_9_jtd.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4235 mm / 166.7 in,1712 mm / 67.4 in,1425 mm / 56.1 in,2540 mm / 100 in,1245 kg / 2745 lbs,Fiat JTD/Multijet-series,diesel,diesel fuel,common rail,turbocharger,2,"Garrett T5 turbo 1,0bar",Line 4,1910 cm3 / 116.7 cui,77 kW / 105 PS / 103 hp  (ECE),255 Nm / 188 ft-lb,,manual,5,185 km/h / 115 mph,10.5, ,7.6 / 4.7 / 5.8 l/100km,,,,,,,,,4.6-5.5 / 7.4-8.9 / 5.7-6.8 / 6.2
2005 Alfa Romeo 147 GTA ,Alfa Romeo 147 GTA (man. 6 speed),/car/2005/221360/alfa_romeo_147_gta.html,,Europe        Australia,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4213 mm / 165.9 in,1764 mm / 69.4 in,1412 mm / 55.6 in,2546 mm / 100.2 in,1360 kg / 2998 lbs,AR 161 series,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7.3.1,V 6,3179 cm3 / 193.8 cui,184 kW / 250 PS / 247 hp  (ECE),300 Nm / 221 ft-lb,,manual,6,246 km/h / 153 mph,6.3, ,18.1 / 8.6 / 12.1 l/100km,,,,,,,,,9.6-11.5 / 17.1-20.5 / 10.7-12.8 / 13.6
2005 Alfa Romeo 147 GTA ,Alfa Romeo 147 GTA Selespeed (s-aut. 6 speed),/car/2005/221375/alfa_romeo_147_gta_selespeed.html,,Europe        Australia,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4213 mm / 165.9 in,1764 mm / 69.4 in,1412 mm / 55.6 in,2546 mm / 100.2 in,1360 kg / 2998 lbs,AR 161 series,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7.3.1,V 6,3179 cm3 / 193.8 cui,184 kW / 250 PS / 247 hp  (ECE),300 Nm / 221 ft-lb,Selespeed,semi-automatic (automated manual),6,246 km/h / 153 mph,6.3, ,18.1 / 8.6 / 12.1 l/100km,,,,,,,,,9.6-11.5 / 17.4-20.9 / 10.7-12.8 / 13.7
2003 Alfa Romeo 147 serie 1 ,Alfa Romeo 147 1.6 Twin Spark 16V Eco (man. 5 speed),/car/2003/221210/alfa_romeo_147_1_6_twin_spark_16v_eco_progression.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4170 mm / 164.2 in,1729 mm / 68.1 in,1439 mm / 56.7 in,2546 mm / 100.2 in,1190 kg / 2623 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7; twin spark,Line 4,1598 cm3 / 97.7 cui,77 kW / 105 PS / 103 hp  (ECE),140 Nm / 103 ft-lb,,manual,5,185 km/h / 115 mph,11.3, ,11.1 / 6.3 / 8.1 l/100km,,,,,,,,,7.2-8.6 / 10.2-12.2 / 9-10.8 / 9.1
2003 Alfa Romeo 147 serie 1 ,Alfa Romeo 147 1.6 Twin Spark 16V (man. 5 speed),/car/2003/221195/alfa_romeo_147_1_6_twin_spark_16v_progression.html,,Europe,"C (medium cars, compact)",hatchback,FWD (front-wheel drive),4170 mm / 164.2 in,1729 mm / 68.1 in,1439 mm / 56.7 in,2546 mm / 100.2 in,1200 kg / 2646 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7; twin spark,Line 4,1598 cm3 / 97.7 cui,88 kW / 120 PS / 118 hp  (ECE),146 Nm / 108 ft-lb,,manual,5,195 km/h / 121 mph,10.6, ,11.2 / 6.4 / 8.2 l/100km,,,,,,,,,7.4-8.9 / 10.8-13 / 9.2-11 / 9.5
