Submodel_Name,Powertrain_Name,Powertrain_Link,Related_Models,Markets_Sold,EEC_segmentation,Body_Style,Traction,Length,Width,Height,Wheelbase,Weight,Engine_Manufacturer,Engine_Type,Fuel_Type,Fuel_System,Charge_System,Valves_Per_Cylinder,Additional_Features,Cylinders_Alignment,Displacement,Horsepower,Torque,Transmission,Transmission_Type,Number_Of_Gears,Top_Speed,0_100_kmh_(sec),ECE90_120_city_comb,EU_NEDC_Australia_ADR82,Battery_Capacity,Battery_Capacity_Net,E_Power_Cons_NEDC_comb,E_Power_Cons_WLTP_comb,E_Range_NEDC_comb,E_Range_WLTP_comb,E_Range_NEDC_city,E_Range_WLTP_city,Simulation_Based_Consumption
2004 Alfa Romeo 156 serie 2 Sedan ,Alfa Romeo 156 1.6 Twin Spark 16V (man. 5 speed),/car/2004/220565/alfa_romeo_156_1_6_twin_spark_16v_impression_business__base.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4435 mm / 174.6 in,1743 mm / 68.6 in,1390 mm / 54.7 in,2595 mm / 102.2 in,1265 kg / 2789 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline indirect injection,naturally aspirated,4,Bosch Motronic ME 7; twin spark,Line 4,1598 cm3 / 97.7 cui,88 kW / 120 PS / 118 hp  (ECE),146 Nm / 108 ft-lb,,manual,5,200 km/h / 124 mph,10.5,29.9 / 9.9 / 19.9 l/100km,11.4 / 6.4 / 8.2 l/100km,,,,,,,,,7.2-8.6 / 10.4-12.5 / 8.8-10.6 / 9.2
2004 Alfa Romeo 156 serie 2 Sedan ,Alfa Romeo 156 2.0 JTS 16V (man. 5 speed),/car/2004/220325/alfa_romeo_156_2_0_jts_16v_progression_classic__turismo_or_veloce.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4435 mm / 174.6 in,1743 mm / 68.6 in,1390 mm / 54.7 in,2595 mm / 102.2 in,1285 kg / 2833 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline direct injection,naturally aspirated,4,Bosch Motronic MED 7.1.1; twin spark,Line 4,1970 cm3 / 120.3 cui,121 kW / 165 PS / 162 hp  (ECE),206 Nm / 152 ft-lb,,manual,5,220 km/h / 137 mph,8.2, ,12.2 / 6.6 / 8.6 l/100km,,,,,,,,,7.3-8.8 / 11.3-13.6 / 8.8-10.6 / 9.6
2007 Alfa Romeo 159 Sedan ,Alfa Romeo 159 1.9 JTS 16V (man. 6 speed),/car/2007/222560/alfa_romeo_159_1_9_jts_16v_distinctive.html,,Europe,D (large cars),sedan,FWD (front-wheel drive),4660 mm / 183.5 in,1830 mm / 72 in,1422 mm / 56 in,2703 mm / 106.4 in,1480 kg / 3263 lbs,ALFA ROMEO,spark-ignition 4-stroke,gasoline (petrol),gasoline direct injection,naturally aspirated,4,Bosch Motronic MED 7.6.1,Line 4,1859 cm3 / 113.7 cui,118 kW / 160 PS / 158 hp  (ECE),190 Nm / 140 ft-lb,,manual,6,212 km/h / 132 mph,9.7, ,12.2 / 6.6 / 8.7 l/100km,,,,,,,,,7.7-9.2 / 11.8-14.2 / 9.2-11 / 10.1
2007 Alfa Romeo 159 Sedan ,Alfa Romeo 159 1.9 JTDm 16V DPF Q-Tronic (aut. 6 speed),/car/2007/222605/alfa_romeo_159_1_9_jtdm_16v_dpf_distinctive_q-tronic.html,,Europe        Australia,D (large cars),sedan,FWD (front-wheel drive),4660 mm / 183.5 in,1830 mm / 72 in,1422 mm / 56 in,2703 mm / 106.4 in,1540 kg / 3395 lbs,Fiat JTD/Multijet-series,diesel,diesel fuel,common rail,turbocharger,4,"Bosch EDC16; Garrett GT1749V variable geometry turbo 1,0bar",Line 4,1910 cm3 / 116.7 cui,110 kW / 150 PS / 148 hp  (ECE),320 Nm / 236 ft-lb,Aisin Warner TF-80SC,automatic,6,207 km/h / 129 mph,9.6, ,9.9 / 5.5 / 7.1 l/100km,,,,,,,,,4.8-5.8 / 8.1-9.7 / 5.1-6.1 / 6.6
2020 BMW 8 Gran Coupe G16 ,BMW 840d xDrive Gran Coupe (aut. 8 speed),/car/2020/2978480/bmw_840d_xdrive_gran_coupe.html,BMW 8-series G14-G15,Europe,E (executive cars),fastback sedan,"4x4 (four-wheel drive xDrive, front engaged automatically with a multi-plate clutch, continous torque distribution)",5082 mm / 200.1 in,1932 mm / 76.1 in,1407 mm / 55.4 in,3023 mm / 119 in,1995 kg / 4398 lbs,BMW B57D30,diesel,diesel fuel,"MHEV Mild Hybrid Electric Vehicle, common rail engine + electric starter/generator",turbocharger,4,"MHEV 48V, 2700 bar with piezo-injectors; multi-stage turbocharging, high- and low-pressure turbochargers with variable intake geometry, intercooler, MHEV Start-Stop system",Line 6,2993 cm3 / 182.8 cui,250 kW / 340 PS / 335 hp  (ECE),700 Nm / 516 ft-lb,ZF 8HP,automatic,8,250 km/h / 155 mph,5, ,7.1 / 4.7 / 5.6 l/100km,,,,,,,,,6.2-7.4 / 10.8-13 / 5.8-7 / 8.7
2020 BMW 8 Gran Coupe G16 ,BMW 840i Gran Coupe (aut. 8 speed),/car/2020/2978450/bmw_840i_gran_coupe.html,BMW 8-series G14-G15,Europe,E (executive cars),fastback sedan,RWD (rear-wheel drive),5082 mm / 200.1 in,1932 mm / 76.1 in,1407 mm / 55.4 in,3023 mm / 119 in,1815 kg / 4001 lbs,BMW B58B30,spark-ignition 4-stroke,gasoline (petrol),gasoline direct injection,turbocharger,4,"BMW TwinPower Turbo with twin-scroll turbocharger, High Precision Injection, Start-Stop system",Line 6,2998 cm3 / 182.9 cui,245 kW / 333 PS / 329 hp  (ECE),500 Nm / 369 ft-lb,ZF 8HP,automatic,8,250 km/h / 155 mph,5.4, ,9.4 / 5.9 / 7.2 l/100km,,,,,,,,,8-9.6 / 14.4-17.3 / 7.9-9.5 / 11.4
2020 BMW 8 Gran Coupe G16 ,BMW 840i xDrive Gran Coupe (aut. 8 speed),/car/2020/2917610/bmw_840i_xdrive_gran_coupe.html,BMW 8-series G14-G15,North America,E (executive cars),fastback sedan,"4x4 (four-wheel drive xDrive, front engaged automatically with a multi-plate clutch, continous torque distribution)",5085 mm / 200.2 in,1932 mm / 76.1 in,1402 mm / 55.2 in,3023 mm / 119 in,1987 kg / 4381 lbs,BMW B58B30,spark-ignition 4-stroke,gasoline (petrol),gasoline direct injection,turbocharger,4,"BMW TwinPower Turbo with twin-scroll turbocharger, High Precision Injection, Start-Stop system",Line 6,2998 cm3 / 182.9 cui,250 kW / 340 PS / 335 hp  (SAE net),500 Nm / 368 ft-lb,ZF 8HP,automatic,8,209 km/h / 130 mph,4.9, , ,,,,,,,,,8.4-10.1 / 15.1-18.1 / 8.3-10 / 12
2021 BMW i3 Hatchback ,BMW i3 (aut. 1 speed),/car/2021/2966765/bmw_i3.html,,Europe,"B (small cars, city cars)",hatchback,RWD (rear- wheel drive),4011 mm / 157.9 in,1775 mm / 69.9 in,1598 mm / 62.9 in,2570 mm / 101.2 in,1270 kg / 2800 lbs,,,electric power - BEV Electric Vehicle,"BEV, electric vehicle, electric motor",,,Hybridsynchron Electric Motor, ,0 cm3 /  cui,125 kW / 170 PS / 168 hp  (ECE),250 Nm / 184 ft-lb,,automatic,1,150 km/h / 93 mph,7.3, , ,42.2 kWh,37.9 kWh,13.1 kWh / 100km,,289 km / 180 miles,,359 km / 223 miles,285 km / 177 miles,- / - / - / 
2021 BMW iX3 G08 SUV Electric Vehicle ,BMW iX3 (aut. 1 speed),/car/2021/2965430/bmw_ix3.html,"BMW X3 G01, ALPINA X3 G01",Europe,J (D) (sport utility cars and off-road vehicles - segment D - large),sport-utility wagon,RWD (rear- wheel drive),4734 mm / 186.4 in,1891 mm / 74.4 in,1668 mm / 65.7 in,2864 mm / 112.8 in,2185 kg / 4817 lbs,,,electric power - BEV Electric Vehicle,"BEV, electric vehicle, electric motor",,,, ,0 cm3 /  cui,210 kW / 286 PS / 282 hp  (ECE),400 Nm / 295 ft-lb,,automatic,1,180 km/h / 112 mph,6.8, , ,80 kWh,74 kWh,17.5 kWh / 100km,18.5 kWh / 100km,423 km / 263 miles,400 km / 249 miles,520 km / 323 miles,460 km / 286 miles,- / - / - / 
2020 BMW i8 Roadster ,BMW i8 Roadster (aut. 6 speed),/car/2020/2631560/bmw_i8_roadster.html,,Europe,S (sport cars),roadster,"4x4 on-demand (electric motors in front, petrol engine drives rear wheels)",4689 mm / 184.6 in,1942 mm / 76.5 in,1291 mm / 50.8 in,2800 mm / 110.2 in,1595 kg / 3516 lbs,BMW B38K15,spark-ignition 4-stroke,gasoline/electric power - PHEV Plug-in Hybrid Electric Vehicle,"PHEV Plug-in Hybrid Electric Vehicle, direct injection engine + electric motor",turbocharger,4,"High Precision Injection, variable turbo +electric motors (plug-in hybrid), Hybrid start-stop system",Line 3,1499 cm3 / 91.4 cui,275 kW / 374 PS / 369 hp  (ECE),570 Nm / 420 ft-lb,Aisin F21-360 FT EOP,automatic,6,250 km/h / 155 mph,4.6, , /  / 2.1 l/100km,11.6 kWh,355 V,,,,,53 km / 33 miles,,5.4-6.5 / 10.8-13 / 5.5-6.6 / 8.1
